Target, Output
61.00000, 58.75639
61.00000, 58.89357
61.00000, 59.26110
61.00000, 58.42122
61.00000, 58.39628
61.00000, 58.53745
61.00000, 58.82150
61.00000, 57.53240
61.00000, 58.75361
61.00000, 58.14442
61.00000, 60.02380
61.00000, 58.61762
61.00000, 58.76248
61.00000, 59.09357
61.00000, 58.36529
46.00000, 42.58371
46.00000, 43.57868
46.00000, 42.85251
46.00000, 43.61985
46.00000, 43.83052
46.00000, 44.69967
46.00000, 44.46033
46.00000, 44.21545
46.00000, 43.11810
46.00000, 44.15202
46.00000, 43.89153
46.00000, 44.27411
46.00000, 44.40158
46.00000, 44.43496
46.00000, 44.22115
46.00000, 43.81837
46.00000, 45.03728
46.00000, 44.55805
46.00000, 44.54146
46.00000, 45.48989
46.00000, 44.45716
46.00000, 45.90663
46.00000, 44.81845
46.00000, 44.18866
46.00000, 43.71755
46.00000, 43.80417
46.00000, 44.69429
46.00000, 44.48527
46.00000, 45.10187
46.00000, 44.14433
46.00000, 44.11610
46.00000, 44.79743
46.00000, 44.59954
46.00000, 45.19626
46.00000, 45.12031
46.00000, 43.69574
46.00000, 44.39211
46.00000, 44.22943
46.00000, 43.56362
46.00000, 43.66619
46.00000, 44.57683
46.00000, 44.13849
75.40000, 68.97606
75.40000, 69.18292
75.40000, 68.79881
75.40000, 68.73817
75.40000, 69.53734
75.40000, 70.57745
75.40000, 70.48573
75.40000, 71.17032
75.40000, 70.10624
75.40000, 71.04892
75.40000, 69.81520
75.40000, 70.06289
75.40000, 70.09292
75.40000, 69.90851
75.40000, 70.26923
75.40000, 70.54928
75.40000, 69.54483
75.40000, 68.60327
75.40000, 69.82811
75.40000, 69.88397
75.40000, 70.31960
75.40000, 69.50016
75.40000, 71.00151
75.40000, 70.77545
75.40000, 69.68476
75.40000, 70.79505
75.40000, 72.28939
92.60000, 88.63176
92.60000, 89.66225
92.60000, 90.46293
92.60000, 89.18623
92.60000, 87.81198
92.60000, 88.14912
44.10000, 42.48393
44.10000, 41.69485
44.10000, 39.27261
44.10000, 42.57952
44.10000, 39.84253
44.10000, 41.99347
45.40000, 39.92241
