Target,Output
45.40000,44.80170
45.40000,44.82623
45.40000,44.89347
45.40000,44.55132
45.40000,44.13286
45.40000,43.81107
45.40000,44.84800
45.40000,44.99754
45.40000,44.59273
45.40000,44.96163
45.40000,45.08736
45.40000,44.84634
45.40000,44.76853
45.40000,45.05443
45.40000,44.40210
45.40000,44.60980
45.40000,45.05390
45.40000,44.22511
45.40000,44.96313
45.40000,45.00012
45.40000,44.99266
51.70000,52.19203
51.70000,52.00645
51.70000,51.95623
51.70000,51.80251
51.70000,52.34266
51.70000,52.52198
51.70000,52.52924
51.70000,51.95978
51.70000,52.07094
51.70000,52.20714
51.70000,52.04842
51.70000,52.21725
51.70000,52.02559
51.70000,53.01111
51.70000,52.38463
51.70000,52.04858
51.70000,52.22461
51.70000,52.61015
51.70000,52.17069
59.00000,60.01159
59.00000,60.71120
59.00000,60.57178
59.00000,60.23029
59.00000,59.89497
59.00000,60.41940
59.00000,60.77175
59.00000,60.77310
59.00000,60.84108
59.00000,60.17816
59.00000,60.45176
59.00000,60.30422
59.00000,61.03971
59.00000,60.60984
59.00000,60.02265
59.00000,60.57132
59.00000,60.47252
59.00000,60.64371
59.00000,60.42033
59.00000,59.98630
59.00000,60.56943
59.00000,60.50344
59.00000,60.06261
59.00000,60.13518
59.00000,60.13230
59.00000,60.61523
59.00000,60.43545
59.00000,60.23202
59.00000,60.57003
59.00000,60.14704
59.00000,60.20210
59.00000,59.53223
57.90000,57.02110
57.90000,56.71860
57.90000,57.04165
57.90000,56.87944
57.90000,57.06042
57.90000,57.29002
57.90000,57.06217
57.90000,56.99327
57.90000,57.13809
57.90000,57.14202
57.90000,57.28631
57.90000,56.83856
57.90000,56.97137
57.90000,56.95939
57.90000,56.99946
57.90000,56.83105
57.90000,56.97299
57.90000,56.99076
57.90000,57.21292
57.90000,56.96562
57.90000,56.74270
57.90000,56.97931
57.90000,57.05302
57.90000,57.01242
57.90000,56.97986
57.90000,57.05263
57.90000,57.05975
57.90000,57.03272
57.90000,56.99190
57.90000,57.04154
57.90000,56.89650
57.90000,56.94648
