Target,Output
57.30000,61.31504
71.20000,69.08561
71.20000,68.44163
71.20000,70.27780
71.20000,69.35378
71.20000,68.00293
71.20000,66.54013
71.20000,73.98360
71.20000,69.61442
71.20000,71.98851
71.20000,71.32714
71.20000,66.61172
71.20000,65.58923
71.20000,67.52085
71.20000,67.38777
72.30000,71.72670
72.30000,73.17117
72.30000,72.11702
72.30000,72.29071
72.30000,71.18398
72.30000,72.94394
72.30000,73.77509
72.30000,72.27917
72.30000,72.28590
72.30000,72.11797
72.30000,74.00472
72.30000,71.50305
72.30000,71.76848
72.30000,72.03963
72.30000,72.51804
72.30000,72.26929
72.30000,72.21414
72.30000,72.90647
72.30000,73.77298
72.30000,72.41826
72.30000,71.93309
72.30000,72.05872
72.30000,71.91953
72.30000,72.02137
72.30000,72.33858
72.30000,72.81070
61.00000,57.69575
61.00000,58.23088
61.00000,58.37645
61.00000,58.78420
61.00000,57.86482
61.00000,57.83627
61.00000,57.99569
61.00000,58.31269
61.00000,56.94127
61.00000,58.23596
61.00000,57.58361
61.00000,59.68830
61.00000,58.08761
61.00000,58.23934
61.00000,58.61863
61.00000,57.81409
46.00000,43.31889
46.00000,44.43553
46.00000,43.60924
46.00000,44.46134
46.00000,44.62145
46.00000,45.54054
46.00000,45.23707
46.00000,44.97601
46.00000,43.80103
46.00000,44.94016
46.00000,44.59632
46.00000,44.96516
46.00000,45.20349
46.00000,45.22617
46.00000,44.94461
46.00000,44.57890
46.00000,45.89917
46.00000,45.28885
46.00000,45.20343
46.00000,46.14907
46.00000,44.85966
46.00000,46.29949
46.00000,45.08002
46.00000,44.95519
46.00000,44.37709
46.00000,44.37936
46.00000,45.22125
46.00000,44.86841
46.00000,45.38425
46.00000,44.10229
46.00000,44.04531
46.00000,44.21125
46.00000,43.76625
46.00000,44.10186
46.00000,44.27834
46.00000,44.04618
46.00000,44.93339
46.00000,44.96366
46.00000,44.10344
46.00000,44.03437
46.00000,44.69462
46.00000,43.99460
75.40000,78.34375
75.40000,70.61340
75.40000,72.18756
75.40000,75.70302
75.40000,74.54851
75.40000,74.30636
75.40000,75.07444
75.40000,74.04143
75.40000,76.08005
75.40000,74.17362
75.40000,76.89176
75.40000,76.21360
75.40000,76.14558
75.40000,76.73870
75.40000,75.63667
75.40000,75.04902
75.40000,77.71682
75.40000,81.23283
75.40000,76.89716
75.40000,76.70535
75.40000,75.62952
75.40000,77.90093
75.40000,74.14602
75.40000,74.56306
75.40000,77.33572
75.40000,75.18951
75.40000,71.59763
92.60000,86.57677
92.60000,86.69575
92.60000,88.35449
92.60000,86.97133
92.60000,86.14094
92.60000,86.18512
44.10000,43.28729
44.10000,42.24729
44.10000,38.65693
44.10000,43.14051
44.10000,39.32579
44.10000,42.36575
45.40000,42.72960
45.40000,43.61915
45.40000,42.99595
45.40000,42.67662
45.40000,42.12212
45.40000,41.64324
45.40000,41.44334
45.40000,41.74407
45.40000,42.72192
45.40000,43.37872
45.40000,41.65237
45.40000,41.47512
45.40000,41.94728
45.40000,42.04742
45.40000,41.77532
45.40000,42.64535
45.40000,41.91807
45.40000,42.26822
45.40000,42.16237
45.40000,41.85080
45.40000,41.63131
45.40000,42.89751
45.40000,41.19428
45.40000,41.28628
45.40000,43.10147
51.70000,52.35915
51.70000,52.30207
51.70000,52.83261
51.70000,53.58346
51.70000,51.67402
51.70000,51.40152
51.70000,51.16875
51.70000,55.16764
51.70000,54.77097
51.70000,54.02397
51.70000,56.05582
51.70000,55.02099
51.70000,55.77057
51.70000,55.23711
51.70000,54.37608
51.70000,55.30010
51.70000,55.20025
51.70000,53.25001
51.70000,55.61390
59.00000,62.28190
59.00000,60.37864
59.00000,60.74738
59.00000,60.98603
59.00000,61.93759
59.00000,61.20326
59.00000,60.17169
59.00000,60.21679
59.00000,60.04542
59.00000,61.26278
59.00000,60.99272
59.00000,61.46378
59.00000,59.56542
59.00000,60.55863
59.00000,61.85121
59.00000,60.78600
59.00000,61.03040
59.00000,60.59793
59.00000,60.96780
59.00000,62.07576
59.00000,60.32412
59.00000,60.55988
59.00000,61.66216
59.00000,61.64316
59.00000,61.40903
59.00000,60.98986
59.00000,61.07489
59.00000,61.38642
59.00000,60.59213
59.00000,61.73307
59.00000,61.31179
59.00000,63.73064
57.90000,57.53576
57.90000,58.35730
57.90000,57.28143
57.90000,58.25137
57.90000,57.32572
57.90000,56.66405
57.90000,57.38902
57.90000,57.80429
57.90000,57.11371
57.90000,56.97842
57.90000,56.74329
57.90000,58.51955
57.90000,57.76316
57.90000,58.04104
57.90000,57.54781
57.90000,58.75956
57.90000,57.81768
57.90000,57.60002
57.90000,57.06701
57.90000,57.59915
57.90000,58.65725
57.90000,57.74496
57.90000,57.51809
57.90000,57.41510
57.90000,57.66490
57.90000,57.23890
57.90000,57.18616
57.90000,57.39477
57.90000,57.71007
57.90000,57.36404
57.90000,57.82169
57.90000,57.69984
57.90000,58.14402
57.90000,58.12673
57.90000,58.07530
57.90000,58.26478
57.90000,57.64643
57.90000,57.85632
57.90000,57.54782
